email|password_hash
valentina.castro1@correo.ucu.edu.uy|73c80d8e1f96df565b33e16b61d44365dbed48afca3e47e2af1e0858d90a053e
gabriela.molina2@ucu.edu.uy|67be85e0402d788fbae1ddaee75543b4c9daf823b06288ff27cde2b52b091b3d
mateo.garcía3@correo.ucu.edu.uy|6774f436328fa7c5d9496008e2d628ae55b5cf5af741aaa8108461f9ab9052c8
juan.garcía4@correo.ucu.edu.uy|7e7aa26932df32b9c0c004efeb0a8b479d607392df9461eda3f08a3592bbd9f0
pedro.molina5@correo.ucu.edu.uy|6fdb0eed045f52eceaff7054725a816d41f58a0a258ffc2ea2c8fc2faee800bc
lucia.molina6@correo.ucu.edu.uy|57321561f5543ed5bb6ec995ee23e94fcc0c4f60941baf7658e6be473857f9f8
valentina.arias7@ucu.edu.uy|6fbd24b094103d96bcb8d0b053d665d3592284641f93f1feed81cfea2eb01690
federico.gonzález8@ucu.edu.uy|885335680ce869a9a6deca18f997c6fa63e38b68dc8d0906f70c50b1d2311a97
lucia.martínez9@correo.ucu.edu.uy|087ff71817059bb87f7af028ca278f91a42edc79a51653884fb7f38e3a57fc29
luis.pérez10@correo.ucu.edu.uy|e260609374ea526e5f7b756c0645317a85d7b2699d15b9033d1068650efc60cb
pablo.sánchez11@correo.ucu.edu.uy|69fdff1840fc206c05011d6d1baeaac50557fa4085afa73fe78f2465d27b99ef
valentina.ruiz12@correo.ucu.edu.uy|70343b9b016148cc25ad8f6f8de112c364a9906fb4269970a9c5425e9fb4280b
lucas.arias13@correo.ucu.edu.uy|c09a32b46263ac9cc682d3d3af74109b1bc36994a2f9dffeb37d0d4b7140b91b
isabella.silva14@correo.ucu.edu.uy|cbaff5aaf111d652621a44ad829cb11159f464a1c0616dcee981ab5854c5dd02
luis.torres15@correo.ucu.edu.uy|41c4ead54b5eabf39e1876d1a80d70f1472ed75d74e4236155b7cf20cdc847b1
camila.gonzález16@correo.ucu.edu.uy|b13b9630094f67febbc126d6879f51b57131b8b701093de524db16efce098651
luis.rodríguez17@correo.ucu.edu.uy|b15960ef25d969ab89b32cfc7d9ac6f10bc3f16b5544673af220ebff31883738
federico.lópez18@correo.ucu.edu.uy|37cee2d5f0333f68e40f9f44a6c9243fbfcb41cc11c3c8e350b25ab0ac4c27b4
carolina.rossi19@correo.ucu.edu.uy|1d8d49054425e84c2de7032377f05744c4c500f6727cd32364971e89bb94f3f5
nicolas.lópez20@correo.ucu.edu.uy|f44d3571e43e91d596ef5c45113abcbeb1b8a70258f94e98cc315ceb84045898
