ci|nombre|apellido|email|rol
90048665|Valentina|Castro|valentina.castro1@correo.ucu.edu.uy|alumno_grado
43744231|Gabriela|Molina|gabriela.molina2@ucu.edu.uy|docente
82070937|Mateo|García|mateo.garcía3@correo.ucu.edu.uy|alumno_grado
49392920|Juan|García|juan.garcía4@correo.ucu.edu.uy|alumno_grado
33978249|Pedro|Molina|pedro.molina5@correo.ucu.edu.uy|alumno_grado
91734598|Lucia|Molina|lucia.molina6@correo.ucu.edu.uy|alumno_grado
81182864|Valentina|Arias|valentina.arias7@ucu.edu.uy|docente
25014631|Federico|González|federico.gonzález8@ucu.edu.uy|docente
17774584|Lucia|Martínez|lucia.martínez9@correo.ucu.edu.uy|alumno_grado
75228535|Luis|Pérez|luis.pérez10@correo.ucu.edu.uy|alumno_posgrado
27232410|Pablo|Sánchez|pablo.sánchez11@correo.ucu.edu.uy|alumno_grado
80823176|Valentina|Ruiz|valentina.ruiz12@correo.ucu.edu.uy|alumno_posgrado
36998038|Lucas|Arias|lucas.arias13@correo.ucu.edu.uy|alumno_grado
79467853|Isabella|Silva|isabella.silva14@correo.ucu.edu.uy|alumno_grado
12823170|Luis|Torres|luis.torres15@correo.ucu.edu.uy|alumno_grado
19528530|Camila|González|camila.gonzález16@correo.ucu.edu.uy|alumno_grado
54349361|Luis|Rodríguez|luis.rodríguez17@correo.ucu.edu.uy|alumno_grado
82374753|Federico|López|federico.lópez18@correo.ucu.edu.uy|alumno_grado
73440831|Carolina|Rossi|carolina.rossi19@correo.ucu.edu.uy|alumno_grado
22660194|Nicolas|López|nicolas.lópez20@correo.ucu.edu.uy|alumno_grado
72682989|Nicolas|Castro|nicolas.castro21@correo.ucu.edu.uy|alumno_posgrado
64038913|Martina|Rodríguez|martina.rodríguez22@correo.ucu.edu.uy|alumno_grado
35714784|Martina|Martínez|martina.martínez23@correo.ucu.edu.uy|alumno_grado
47385696|Nicolas|Fernández|nicolas.fernández24@correo.ucu.edu.uy|alumno_grado
83863413|Luis|Silva|luis.silva25@correo.ucu.edu.uy|alumno_grado
22517517|Pablo|González|pablo.gonzález26@ucu.edu.uy|docente
75181648|Valentina|Castro|valentina.castro27@correo.ucu.edu.uy|alumno_grado
60864911|Sofia|Fernández|sofia.fernández28@correo.ucu.edu.uy|alumno_grado
66775103|Gabriela|Díaz|gabriela.díaz29@correo.ucu.edu.uy|alumno_grado
30776478|Pablo|Rivera|pablo.rivera30@correo.ucu.edu.uy|alumno_grado
82772208|Sofia|Rossi|sofia.rossi31@correo.ucu.edu.uy|alumno_grado
73993471|Sofia|Rossi|sofia.rossi32@correo.ucu.edu.uy|alumno_grado
78159587|Valentina|Rodríguez|valentina.rodríguez33@correo.ucu.edu.uy|alumno_grado
41568532|Marta|Pérez|marta.pérez34@correo.ucu.edu.uy|alumno_grado
87701200|Carolina|Martínez|carolina.martínez35@correo.ucu.edu.uy|alumno_grado
85863473|Nicolas|Rossi|nicolas.rossi36@correo.ucu.edu.uy|alumno_grado
42035886|Lucas|Torres|lucas.torres37@correo.ucu.edu.uy|alumno_grado
52436584|Lucia|Silva|lucia.silva38@ucu.edu.uy|docente
93370583|Mateo|Silva|mateo.silva39@ucu.edu.uy|admin
38609087|Luis|Arias|luis.arias40@correo.ucu.edu.uy|alumno_grado
42787299|Isabella|Pérez|isabella.pérez41@correo.ucu.edu.uy|alumno_grado
92097999|Pablo|Díaz|pablo.díaz42@ucu.edu.uy|admin
99639081|Ana|González|ana.gonzález43@correo.ucu.edu.uy|alumno_posgrado
45496015|Martina|Sánchez|martina.sánchez44@correo.ucu.edu.uy|alumno_grado
46553958|Pablo|Sánchez|pablo.sánchez45@correo.ucu.edu.uy|alumno_grado
95125977|Juan|López|juan.lópez46@correo.ucu.edu.uy|alumno_posgrado
22388090|Pedro|Rodríguez|pedro.rodríguez47@correo.ucu.edu.uy|alumno_grado
54769200|Sofia|González|sofia.gonzález48@correo.ucu.edu.uy|alumno_grado
69302158|Pedro|Fernández|pedro.fernández49@correo.ucu.edu.uy|alumno_grado
20099059|Mateo|García|mateo.garcía50@ucu.edu.uy|docente
14835614|Diego|Arias|diego.arias51@correo.ucu.edu.uy|alumno_posgrado
27105448|Diego|Castro|diego.castro52@correo.ucu.edu.uy|alumno_grado
38195995|Sofia|Ramírez|sofia.ramírez53@correo.ucu.edu.uy|alumno_grado
64543049|Isabella|Arias|isabella.arias54@ucu.edu.uy|docente
33763566|Camila|Fernández|camila.fernández55@correo.ucu.edu.uy|alumno_posgrado
99913412|Juan|Castro|juan.castro56@correo.ucu.edu.uy|alumno_posgrado
24508349|Pedro|Fernández|pedro.fernández57@correo.ucu.edu.uy|alumno_grado
36786211|Federico|Martínez|federico.martínez58@correo.ucu.edu.uy|alumno_posgrado
39920292|Lucia|Martínez|lucia.martínez59@correo.ucu.edu.uy|alumno_grado
19317495|Juan|Ruiz|juan.ruiz60@ucu.edu.uy|docente
81969657|Ana|Vega|ana.vega61@correo.ucu.edu.uy|alumno_grado
87925434|Pedro|Fernández|pedro.fernández62@correo.ucu.edu.uy|docente
68326160|Martina|Ponce|martina.ponce63@correo.ucu.edu.uy|alumno_grado
78642041|Nicolas|Ponce|nicolas.ponce64@correo.ucu.edu.uy|alumno_grado
15957459|Lucas|Ruiz|lucas.ruiz65@correo.ucu.edu.uy|alumno_grado
58884978|Pablo|López|pablo.lópez66@correo.ucu.edu.uy|alumno_grado
52133044|Juan|Ponce|juan.ponce67@correo.ucu.edu.uy|alumno_grado
51511484|Lucia|Molina|lucia.molina68@correo.ucu.edu.uy|alumno_grado
27084279|Lucia|Arias|lucia.arias69@correo.ucu.edu.uy|alumno_grado
